pmid,pmc,title,journal,doi,issn,publisher
29223533.0,,Atomic structure and enzymatic insights into the vancomycin-resistant Enterococcus faecalis (V583) alkylhydroperoxide reductase subunit C.,Free Radic Biol Med,10.1016/j.freeradbiomed.2017.12.003,1873-4596,Elsevier BV
34625749.0,8500837.0,The tertiary structure of the human Xkr8-Basigin complex that scrambles phospholipids at plasma membranes.,Nat Struct Mol Biol,10.1038/s41594-021-00665-8,1545-9985,Springer Science and Business Media LLC
20070943.0,,Insights into higher-order organization of the cellulosome revealed by a dissect-and-build approach: crystal structure of interacting Clostridium thermocellum multimodular components.,J Mol Biol,10.1016/j.jmb.2010.01.015,1089-8638,Elsevier BV
22802656.0,3412039.0,Crystal structure of IgE bound to its B-cell receptor CD23 reveals a mechanism of reciprocal allosteric inhibition with high affinity receptor FcεRI.,Proc Natl Acad Sci U S A,10.1073/pnas.1207278109,1091-6490,Proceedings of the National Academy of Sciences
27152988.0,,The BTB domains of the potassium channel tetramerization domain proteins prevalently assume pentameric states.,FEBS Lett,10.1002/1873-3468.12203,1873-3468,Wiley
33484636.0,8266384.0,A two-site flexible clamp mechanism for RET-GDNF-GFRα1 assembly reveals both conformational adaptation and strict geometric spacing.,Structure,10.1016/j.str.2020.12.012,1878-4186,Elsevier BV
21109633.0,,Structural basis of biological N2O generation by bacterial nitric oxide reductase.,Science,10.1126/science.1195591,1095-9203,American Association for the Advancement of Science (AAAS)
16434053.0,,Crystal structures of Yersinia enterocolitica salicylate synthase and its complex with the reaction products salicylate and pyruvate.,J Mol Biol,10.1016/j.jmb.2005.12.078,0022-2836,Elsevier BV
31089181.0,6517402.0,Structure and tailspike glycosidase machinery of ORF212 from E. coli O157:H7 phage CBA120 (TSP3).,Sci Rep,10.1038/s41598-019-43748-9,2045-2322,Springer Science and Business Media LLC
34388369.0,,Structure of the human signal peptidase complex reveals the determinants for signal peptide cleavage.,Mol Cell,10.1016/j.molcel.2021.07.031,1097-4164,Elsevier BV
26215615.0,4548480.0,Structures of the Ultra-High-Affinity Protein-Protein Complexes of Pyocins S2 and AP41 and Their Cognate Immunity Proteins from Pseudomonas aeruginosa.,J Mol Biol,10.1016/j.jmb.2015.07.014,1089-8638,Elsevier BV
21337010.0,4875291.0,A structural view of the conserved domain of rice stress-responsive NAC1.,Protein Cell,10.1007/s13238-011-1010-9,1674-8018,Oxford University Press (OUP)
21573940.0,,"High-yield expression, purification, characterization, and structure determination of tag-free Candida utilis uricase.",Appl Microbiol Biotechnol,10.1007/s00253-011-3244-0,1432-0614,Springer Science and Business Media LLC
28985219.0,5646868.0,The ins and outs of vanillyl alcohol oxidase: Identification of ligand migration paths.,PLoS Comput Biol,10.1371/journal.pcbi.1005787,1553-7358,Public Library of Science (PLoS)
14516197.0,,Structure of the Jab1/MPN domain and its implications for proteasome function.,Biochemistry,10.1021/bi035033g,0006-2960,American Chemical Society (ACS)
14993670.0,,Structural study of the type II 3-dehydroquinate dehydratase from Actinobacillus pleuropneumoniae.,Acta Crystallogr D Biol Crystallogr,10.1107/S090744490302969X,0907-4449,International Union of Crystallography (IUCr)
16344483.0,1317908.0,Structure of the streptococcal cell wall C5a peptidase.,Proc Natl Acad Sci U S A,10.1073/pnas.0504954102,0027-8424,Proceedings of the National Academy of Sciences
25209664.0,,Structural basis for the inhibition of the eukaryotic ribosome.,Nature,10.1038/nature13737,1476-4687,Springer Science and Business Media LLC
30318141.0,6289053.0,"Structural Insights into Mdn1, an Essential AAA Protein Required for Ribosome Biogenesis.",Cell,10.1016/j.cell.2018.09.015,1097-4172,Elsevier BV
15096031.0,,Insight into the mechanism of the B12-independent glycerol dehydratase from Clostridium butyricum: preliminary biochemical and structural characterization.,Biochemistry,10.1021/bi035930k,0006-2960,American Chemical Society (ACS)
15013760.0,,The orientations of core antenna chlorophylls in photosystem II are optimized to maximize the quantum yield of photosynthesis.,FEBS Lett,10.1016/S0014-5793(04)00133-4,0014-5793,Wiley
27601326.0,,Structural insight into the E. coli HigBA complex.,Biochem Biophys Res Commun,10.1016/j.bbrc.2016.08.131,1090-2104,Elsevier BV
29372900.0,6688565.0,PRISM-EM: template interface-based modelling of multi-protein complexes guided by cryo-electron microscopy density maps. Corrigendum.,Acta Crystallogr D Struct Biol,10.1107/S2059798317017739,2059-7983,International Union of Crystallography (IUCr)
25980909.0,,Compounds from the insect Blaps japanensis with COX-1 and COX-2 inhibitory activities.,Bioorg Med Chem Lett,10.1016/j.bmcl.2015.04.085,1464-3405,Elsevier BV
16957777.0,1570437.0,Dissection of the unusual structural and functional properties of the variant H2A.Bbd nucleosome.,EMBO J,10.1038/sj.emboj.7601310,0261-4189,Springer Science and Business Media LLC
31585692.0,6981294.0,A Consensus Binding Motif for the PP4 Protein Phosphatase.,Mol Cell,10.1016/j.molcel.2019.08.029,1097-4164,Elsevier BV
25043012.0,4423819.0,Structure of the DDB1-CRBN E3 ubiquitin ligase in complex with thalidomide.,Nature,10.1038/nature13527,1476-4687,Springer Science and Business Media LLC
28228481.0,5392582.0,A helical bundle in the N-terminal domain of the BLM helicase mediates dimer and potentially hexamer formation.,J Biol Chem,10.1074/jbc.M116.761510,1083-351X,Elsevier BV
21883526.0,,Atypical DNA recognition mechanism used by the EspR virulence regulator of Mycobacterium tuberculosis.,Mol Microbiol,10.1111/j.1365-2958.2011.07813.x,1365-2958,Wiley
20858734.0,2947903.0,ATP synthase: from sequence to ring size to the P/O ratio.,Proc Natl Acad Sci U S A,10.1073/pnas.1012260107,1091-6490,Proceedings of the National Academy of Sciences
31314496.0,,Tumor Suppressor p53-Mediated Structural Reorganization of the Transcriptional Coactivator p300.,Biochemistry,10.1021/acs.biochem.9b00333,1520-4995,American Chemical Society (ACS)
30733327.0,6467010.0,High-resolution crystal structures of ribosome-bound chloramphenicol and erythromycin provide the ultimate basis for their competition.,RNA,10.1261/rna.069260.118,1469-9001,Cold Spring Harbor Laboratory
24916958.0,4169324.0,RsaM: a transcriptional regulator of Burkholderia spp. with novel fold.,FEBS J,10.1111/febs.12868,1742-4658,Wiley
19705488.0,,ATP conformations and ion binding modes in the active site of anthrax edema factor: a computational analysis.,Proteins,10.1002/prot.22523,1097-0134,Wiley
11701129.0,,Crystal structure of a procaspase-7 zymogen: mechanisms of activation and substrate binding.,Cell,10.1016/s0092-8674(01)00544-x,0092-8674,Elsevier BV
17473010.0,2206674.0,Structure of the E. coli bifunctional GlmU acetyltransferase active site with substrates and products.,Protein Sci,10.1110/ps.072779707,0961-8368,Wiley
38579990.0,11067327.0,Making a living off the rainbow's edge: How phycobilisomes adapt structurally to absorb far-red light.,J Biol Chem,10.1016/j.jbc.2024.107262,1083-351X,Elsevier BV
18164726.0,,A rationally designed monomeric variant of anthranilate phosphoribosyltransferase from Sulfolobus solfataricus is as active as the dimeric wild-type enzyme but less thermostable.,J Mol Biol,10.1016/j.jmb.2007.11.078,1089-8638,Elsevier BV
24056041.0,,Structural and functional analysis of FIP2 binding to the endosome-localised Rab25 GTPase.,Biochim Biophys Acta,10.1016/j.bbapap.2013.09.005,0006-3002,Elsevier BV
20516589.0,2882759.0,Structure of Stenotrophomonas maltophilia FeoA complexed with zinc: a unique prokaryotic SH3-domain protein that possibly acts as a bacterial ferrous iron-transport activating factor.,Acta Crystallogr Sect F Struct Biol Cryst Commun,10.1107/S1744309110013941,1744-3091,International Union of Crystallography (IUCr)
28538729.0,5587415.0,Cryo-EM structure of the activated GLP-1 receptor in complex with a G protein.,Nature,10.1038/nature22394,1476-4687,Springer Science and Business Media LLC
23891288.0,3742642.0,Subunit folds and maturation pathway of a dsRNA virus capsid.,Structure,10.1016/j.str.2013.06.007,1878-4186,Elsevier BV
24123467.0,4282584.0,Intramolecular isopeptide but not internal thioester bonds confer proteolytic and significant thermal stability to the S. pyogenes pilus adhesin Spy0125.,Proteins,10.1002/prot.24420,1097-0134,Wiley
37852256.0,10841713.0,Visualizing the chaperone-mediated folding trajectory of the G protein β5 β-propeller.,Mol Cell,10.1016/j.molcel.2023.09.032,1097-4164,Elsevier BV
24548299.0,,Structural and mechanistic insights into an extracytoplasmic copper trafficking pathway in Streptomyces lividans.,Biochem J,10.1042/BJ20140017,1470-8728,Portland Press Ltd.
17975069.0,,TARP auxiliary subunits switch AMPA receptor antagonists into partial agonists.,Science,10.1126/science.1146317,1095-9203,American Association for the Advancement of Science (AAAS)
15193642.0,,Visualization of alpha-helical features in a density map constructed using 9 molecular images of the 1.8 MDa icosahedral core of pyruvate dehydrogenase.,J Struct Biol,10.1016/j.jsb.2004.02.007,1047-8477,Elsevier BV
31846577.0,6985937.0,"Selectivity and Physicochemical Optimization of Repurposed Pyrazolo[1,5-b]pyridazines for the Treatment of Human African Trypanosomiasis.",J Med Chem,10.1021/acs.jmedchem.9b01741,1520-4804,American Chemical Society (ACS)
23623350.0,3684959.0,Small molecules CK-666 and CK-869 inhibit actin-related protein 2/3 complex by blocking an activating conformational change.,Chem Biol,10.1016/j.chembiol.2013.03.019,1879-1301,Elsevier BV
17277448.0,2330127.0,"Purification, crystallization and preliminary X-ray analysis of the regulatory subunit of aspartate kinase from Thermus thermophilus.",Acta Crystallogr Sect F Struct Biol Cryst Commun,10.1107/S1744309106055837,1744-3091,International Union of Crystallography (IUCr)
25918412.0,4434703.0,How release of phosphate from mammalian F1-ATPase generates a rotary substep.,Proc Natl Acad Sci U S A,10.1073/pnas.1506465112,1091-6490,Proceedings of the National Academy of Sciences
23317505.0,3615435.0,"tRNA binding, structure, and localization of the human interferon-induced protein IFIT5.",Mol Cell,10.1016/j.molcel.2012.12.015,1097-4164,Elsevier BV
