pmid,journal,doi,issn,publisher
24800496,Rinsho Byori,,0047-1860,
24640556,Ital J Anat Embryol,,1122-6714,Firenze University Press
10630996,Biochemistry,10.1021/bi991952o,0006-2960,American Chemical Society (ACS)
24247793,Ann Clin Lab Sci,,1550-8080,
25491779,Mol Carcinog,10.1002/mc.22242,1098-2744,Wiley
11899704,Acta Cient Venez,,0001-5504,
16755850,Klin Med (Mosk),,0023-2149,Medical Informational Agency Publishers
23420953,Bull Acad Natl Med,,0001-4079,Elsevier BV
16142322,Int J Oncol,,1019-6439,Spandidos Publications
36145246,Nutrients,10.3390/nu14183871,2072-6643,MDPI AG
16282457,J Virol,10.1128/JVI.79.23.14570-14585.2005,0022-538X,American Society for Microbiology
22594278,Biofizika,,0006-3029,Pleiades Publishing Ltd
21532317,J Microbiol Biotechnol,,1738-8872,Korean Society for Microbiology and Biotechnology
19794887,Can J Vet Res,,1928-9022,
16253189,Zhonghua Yi Xue Za Zhi,,0376-2491,
11454674,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
11931430,J Environ Qual,,0047-2425,Wiley
18612243,Mol Cells,,1016-8478,Elsevier BV
28770955,Eur Rev Med Pharmacol Sci,,2284-0729,
21737628,Anticancer Res,,1791-7530,Anticancer Research USA Inc.
23342636,Ukr Biokhim Zh (1999),,,
27524955,Heart Metab,,1566-0338,Servier International
17983186,Rev Med Chir Soc Med Nat Iasi,,0048-7848,Grigore T. Popa University of Medicine and Pharmacy
22117435,Biofizika,,0006-3029,Pleiades Publishing Ltd
33552061,Front Immunol,10.3389/fimmu.2020.603278,1664-3224,Frontiers Media SA
10903798,Eur Cytokine Netw,,1148-5493,John Libbey Eurotext
14509350,Pol J Vet Sci,,1505-1773,Polish Academy of Sciences Chancellery
29779329,Zhonghua Xue Ye Xue Za Zhi,10.3760/cma.j.issn.0253-2727.2018.04.012,0253-2727,
16080537,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
11381969,Water Sci Technol,,0273-1223,IWA Publishing
12411053,Zhonghua Xue Ye Xue Za Zhi,,0253-2727,
21575439,Zhonghua Kou Qiang Yi Xue Za Zhi,,1002-0098,
33884344,Afr J Infect Dis,10.21010/ajid.v14i2.1,2006-0165,African Traditional Herbal Medicine Supporters Initiative (ATHMSI)
32509386,Am J Cancer Res,,2156-6976,e-Century Publishing Corporation
21769075,Minerva Gastroenterol Dietol,,1121-421X,Edizioni Minerva Medica
17929581,Prikl Biokhim Mikrobiol,,0555-1099,Pleiades Publishing Ltd
16819308,Mol Cells,,1016-8478,Elsevier BV
12243090,Vopr Med Khim,,0042-8809,
11110698,Blood,,0006-4971,American Society of Hematology
19187601,Chin Med J (Engl),,2542-5641,Ovid Technologies (Wolters Kluwer Health)
21105475,Klin Med (Mosk),,0023-2149,Medical Informational Agency Publishers
21265264,Hiroshima J Med Sci,,0018-2052,
37122605,World J Gastroenterol,10.3748/wjg.v29.i14.2172,2219-2840,
17674714,Zh Evol Biokhim Fiziol,,0044-4529,The Russian Academy of Sciences
12449801,Prikl Biokhim Mikrobiol,,0555-1099,Pleiades Publishing Ltd
11085921,Biochem J,,0264-6021,Portland Press Ltd.
12921344,Jpn J Vet Res,,0047-1917,
11986746,Zhonghua Shi Yan He Lin Chuang Bing Du Xue Za Zhi,,1003-9279,
10666227,Blood,,0006-4971,American Society of Hematology
22679759,Ukr Biokhim Zh (1999),,,
12036970,Invest Ophthalmol Vis Sci,,0146-0404,Association for Research in Vision and Ophthalmology (ARVO)
27089683,Sheng Li Ke Xue Jin Zhan,,0559-7765,
11254751,J Lipid Res,,0022-2275,Elsevier BV
10645969,J Neurobiol,,0022-3034,Wiley
19031807,Zhonghua Jie He He Hu Xi Za Zhi,,1001-0939,
32017001,Eur Rev Med Pharmacol Sci,10.26355/eurrev_202001_20079,2284-0729,
12491604,Rinsho Byori,,0047-1860,
21055180,Zhonghua Bing Li Xue Za Zhi,,0529-5807,
16403254,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137,
22220406,Coll Antropol,,0350-6134,Croatian Anthropological Society
11751459,Cell Growth Differ,,1044-9523,
26248740,Biomed Environ Sci,10.3967/bes2015.078,0895-3988,Elsevier BV
26242038,Zhonghua Nan Ke Xue,,1009-3591,
29636998,Am J Cancer Res,,2156-6976,e-Century Publishing Corporation
30480413,Tsitol Genet,,0564-3783,
20404524,Cell Cycle,,1551-4005,Informa UK Limited
25629266,Folia Biol (Praha),,0015-5500,"Charles University in Prague, Karolinum Press"
25246568,Proc Natl Acad Sci U S A,10.1073/pnas.1410775111,1091-6490,Proceedings of the National Academy of Sciences
20428793,Int J Mol Med,,1791-244X,Spandidos Publications
16545180,Zhonghua Bing Li Xue Za Zhi,,0529-5807,
10969771,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
11751455,Cell Growth Differ,,1044-9523,
15583810,Oncol Rep,,1021-335X,Spandidos Publications
12750284,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
20201365,Voen Med Zh,,0026-9050,Federal State Budgetary Institution &quot;RIC &quot;Krasnaya Zvezda&quot; of the Ministry of Defense of Russia
19492157,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
10701835,Cell Stress Chaperones,10.1043/1355-8145(2000)005<0014:PACOPA>2.0.CO;2,1355-8145,Elsevier BV
15951858,Saudi Med J,,0379-5284,Saudi Medical Journal
18453054,Probl Tuberk Bolezn Legk,,1728-2993,
11994503,J Leukoc Biol,,0741-5400,Oxford University Press (OUP)
20127032,Oncol Rep,,1791-2431,Spandidos Publications
12082400,J Hum Virol,,1090-9508,
16388744,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
10686018,J Med Virol,,0146-6615,Wiley
11160639,J Pharmacol Exp Ther,,0022-3565,American Society for Pharmacology & Experimental Therapeutics (ASPET)
14633680,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
12918255,Fiziol Zh (1994),,2522-9028,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
11742571,Acta Pharmacol Sin,,1671-4083,Springer Science and Business Media LLC
26394474,Biofizika,,0006-3029,Pleiades Publishing Ltd
24459703,Toxicol Lett,,1879-3169,
15236509,Ann Agric Environ Med,,1232-1966,Institute of Rural Health
22296396,Asian Pac J Cancer Prev,,2476-762X,EpiSmart Science Vector Ltd
16447633,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,,1000-503X,
10768493,Membr Cell Biol,,1023-6597,
14654987,Int J Mol Med,,1107-3756,Spandidos Publications
16859028,Wiad Parazytol,,0043-5163,
12589032,Mol Cancer Ther,,1535-7163,American Association for Cancer Research (AACR)
16077910,Int J Oncol,,1019-6439,Spandidos Publications
32519665,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
16894896,Sheng Wu Gong Cheng Xue Bao,,1000-3061,
35610016,J Tradit Chin Med,10.19852/j.cnki.jtcm.20220408.004,2589-451X,
11447890,Health Estate,,,
10861983,Rapid Commun Mass Spectrom,10.1002/1097-0231(20000630)14:12<1029::AID-RCM984>3.0.CO;2-#,0951-4198,Wiley
17425851,Zhonghua Yi Xue Za Zhi,,0376-2491,
15911768,Proc Natl Acad Sci U S A,10.1073/pnas.0502206102,0027-8424,Proceedings of the National Academy of Sciences
19012240,Histol Histopathol,10.14670/HH-24.13,1699-5848,
10930855,Ann Dermatol Venereol,,0151-9638,Elsevier BV
25331998,Sheng Li Xue Bao,,0371-0874,
18198792,Ideggyogy Sz,,0019-1442,Ideggyogyaszati Szemle Journal
