pmid,pmc,title,journal,doi,issn,publisher
18845083.0,,[Preparation and characterization of the polyclonal antibody against pig integrin beta6 subunit LBD as FMDV receptor].,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
17205105.0,1762136.0,Proteomic analyses to identify novel therapeutic targets for the treatment of advanced prostate cancer.,Cellscience,10.1901/jaba.2006.3-61,1742-8130,
20182557.0,2827344.0,Identification of in vivo phosphorylation sites of lens proteins from porcine eye lenses by a gel-free phosphoproteomics approach.,Mol Vis,,1090-0535,
18079675.0,2185538.0,Purification of the full-length Xenopus interphotoreceptor retinoid binding protein and growth of diffraction-quality crystals.,Mol Vis,,1090-0535,
18490959.0,2386506.0,Technical Brief: a novel strategy for enrichment of trabecular meshwork protease proteome.,Mol Vis,,1090-0535,
22667125.0,,"[Expression, purification of proteasome subunit PSMB1 and application in screening of possible proteasome inhibitors].",Sheng Wu Gong Cheng Xue Bao,,1000-3061,
28216490.0,,[Expression and purification of FOXO1 DNA binding domain and its DNA properties].,Zhong Nan Da Xue Xue Bao Yi Xue Ban,10.11817/j.issn.1672-7347.2017.01.001,1672-7347,
23127404.0,,[Prokaryotic expression and purification of a tandem repeat of ovarian cancer antigen CA125 and preparation of its antiserum].,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
16379027.0,,"RPE65 surface epitopes, protein interactions, and expression in rod- and cone-dominant species.",Mol Vis,,1090-0535,
12724941.0,,Use of proteomics methodology to evaluate inflammatory protein expression in tendinitis.,Biomed Sci Instrum,,0067-8856,
17083841.0,,[Identification of serum biomarkers for ovarian cancer using protein chips and time of flight mass spectrometry technology].,Zhonghua Fu Chan Ke Za Zhi,,0529-567X,
24491048.0,,[Expression and identification of enterohemorrhagic Escherichia coli O157:H7 Shiga toxin1A subunit].,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
12958658.0,,"[Purification and characterization of trichokirin-S1, a novel ribosome-inactivating peptide from seeds of Trichosanthes kirilowii].",Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao (Shanghai),,0582-9879,
25931227.0,,[Expression and purification of DNA binding domain of NR4A1].,Zhong Nan Da Xue Xue Bao Yi Xue Ban,10.11817/j.issn.1672-7347.2015.04.001,1672-7347,
27386437.0,4916782.0,"High Yield Overexpression, Refolding, Purification and Characterization of Pseudomonas aeruginosa Type B-Flagellin: An Improved Method Without Sonication.",Int J Mol Cell Med,,2251-9637,
22347249.0,3279841.0,"Serological Evaluation of EgAgB16 kDa, a Recombinant Antigen from Echinococcus granulosus for Diagnosis of Human Hydatidosis.",Iran J Parasitol,,2008-238X,
24581120.0,,[Identification of proteins interacted with Bat3 using tandem affinity purification].,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,10.3881/j.issn.1000-503X.2014.01.001,1000-503X,
19702077.0,,[Study on proteomic specificity of unstable angina with qi deficiency and blood stasis syndrome].,Zhongguo Zhong Xi Yi Jie He Za Zhi,,1003-5370,
