publisher,journal,total_pmids
Asian Australasian Association of Animal Production Societies,Asian-Australas J Anim Sci,2
Asian Pacific Organization for Cancer Prevention,Asian Pac J Cancer Prev,14
Association for Research in Vision and Ophthalmology (ARVO),Invest Ophthalmol Vis Sci,107
Association for Research in Vision and Ophthalmology (ARVO),Transl Vis Sci Technol,1
Association of Basic Medical Sciences of FBIH,Biomol Biomed,1
Association of Basic Medical Sciences of FBIH,Bosn J Basic Med Sci,1
Association of Biomolecular Resource Facilities,J Biomol Tech,7
Autonomous non-profit scientific and medical organization - Questions of Oncology,Vopr Onkol,2
"Ayub Medical College, Abbottabad Pakistan",J Ayub Med Coll Abbottabad,1
BMJ,Ann Rheum Dis,20
BMJ,BMJ,1
BMJ,BMJ Open,2
BMJ,Br J Ophthalmol,3
BMJ,Emerg Med J,1
BMJ,Gut,28
BMJ,Heart,4
BMJ,Int J Gynecol Cancer,10
BMJ,J Clin Pathol,17
BMJ,J Immunother Cancer,14
BMJ,J Med Genet,20
BMJ,J Neurol Neurosurg Psychiatry,5
BMJ,RMD Open,1
BMJ,Sex Transm Infect,1
BMJ,Thorax,3
Baishideng Publishing Group Inc.,World J Cardiol,1
Baishideng Publishing Group Inc.,World J Gastroenterol,56
Baishideng Publishing Group Inc.,World J Gastrointest Oncol,3
Baishideng Publishing Group Inc.,World J Hepatol,1
Baishideng Publishing Group Inc.,World J Stem Cells,1
Begell House,Crit Rev Eukaryot Gene Expr,5
Begell House,Int J Med Mushrooms,5
Begell House,J Environ Pathol Toxicol Oncol,5
Begell House,J Long Term Eff Med Implants,2
Beilstein Institut,Beilstein J Org Chem,1
Bentham Science Publishers Ltd.,Anticancer Agents Med Chem,9
Bentham Science Publishers Ltd.,Antiinflamm Antiallergy Agents Med Chem,1
Bentham Science Publishers Ltd.,CNS Neurol Disord Drug Targets,2
Bentham Science Publishers Ltd.,Comb Chem High Throughput Screen,8
Bentham Science Publishers Ltd.,Curr Aging Sci,3
Bentham Science Publishers Ltd.,Curr Alzheimer Res,9
Bentham Science Publishers Ltd.,Curr Cancer Drug Targets,5
Bentham Science Publishers Ltd.,Curr Cardiol Rev,2
Bentham Science Publishers Ltd.,Curr Chem Biol,1
Bentham Science Publishers Ltd.,Curr Comput Aided Drug Des,7
Bentham Science Publishers Ltd.,Curr Diabetes Rev,2
Bentham Science Publishers Ltd.,Curr Drug Deliv,2
Bentham Science Publishers Ltd.,Curr Drug Discov Technol,4
Bentham Science Publishers Ltd.,Curr Drug Metab,3
Bentham Science Publishers Ltd.,Curr Drug Saf,1
Bentham Science Publishers Ltd.,Curr Drug Targets,2
Bentham Science Publishers Ltd.,Curr Gene Ther,2
Bentham Science Publishers Ltd.,Curr Genomics,2
Bentham Science Publishers Ltd.,Curr HIV Res,2
Bentham Science Publishers Ltd.,Curr Hypertens Rev,1
Bentham Science Publishers Ltd.,Curr Med Chem,6
Bentham Science Publishers Ltd.,Curr Mol Med,9
Bentham Science Publishers Ltd.,Curr Mol Pharmacol,2
Bentham Science Publishers Ltd.,Curr Neuropharmacol,1
Bentham Science Publishers Ltd.,Curr Neurovasc Res,7
Bentham Science Publishers Ltd.,Curr Pharm Biotechnol,2
Bentham Science Publishers Ltd.,Curr Pharm Des,5
Bentham Science Publishers Ltd.,Curr Phys Chem,1
Bentham Science Publishers Ltd.,Curr Protein Pept Sci,7
Bentham Science Publishers Ltd.,Curr Radiopharm,2
Bentham Science Publishers Ltd.,Curr Rev Clin Exp Pharmacol,1
Bentham Science Publishers Ltd.,Curr Top Med Chem,8
Bentham Science Publishers Ltd.,Curr Vasc Pharmacol,2
Bentham Science Publishers Ltd.,Drug Metab Lett,2
Bentham Science Publishers Ltd.,Endocr Metab Immune Disord Drug Targets,3
Bentham Science Publishers Ltd.,Immunol Endocr Metab Agents Med Chem,1
Bentham Science Publishers Ltd.,Inflamm Allergy Drug Targets,1
Bentham Science Publishers Ltd.,Med Chem,10
Bentham Science Publishers Ltd.,Microrna,1
Bentham Science Publishers Ltd.,Mini Rev Med Chem,2
Bentham Science Publishers Ltd.,Open Biomed Eng J,1
Bentham Science Publishers Ltd.,Open Microbiol J,1
Bentham Science Publishers Ltd.,Open Neuroendocrinol J,1
Bentham Science Publishers Ltd.,Open Neurol J,1
Bentham Science Publishers Ltd.,Protein Pept Lett,45
Bentham Science Publishers Ltd.,Recent Adv Inflamm Allergy Drug Discov,1
Bentham Science Publishers Ltd.,Recent Pat Biotechnol,1
Bilimsel Tip Publishing House,Mikrobiyol Bul,2
"Bio-Protocol, LLC",Bio Protoc,25
BioOne,Arabidopsis Book,3
Biomedical Informatics,Bioinformation,3
Biomedical Research Press,Biomed Res,4
Bionika Media,Kardiologiia,3
Bionika Media,Urologiia,2
Biophysical Society of Japan,Biophys Physicobiol,1
Biophysical Society of Japan,Biophysics (Nagoya-shi),1
Bioscientifica,Endocr Relat Cancer,16
Bioscientifica,J Endocrinol,43
Bioscientifica,J Mol Endocrinol,34
Bioscientifica,J Reprod Fertil,4
Bioscientifica,Reprod Fertil,1
Bioscientifica,Reproduction,30
Brill,Benef Microbes,2
Brill,Folia Primatol (Basel),1
Brill,Haematologia (Budap),1
British Editorial Society of Bone & Joint Surgery,Bone Joint J,1
CLOCKSS Archive,Mol Interv,1
CMB Association,Cell Mol Biol (Noisy-le-grand),24
CMV Verlag,Iran Biomed J,6
CMV Verlag,Iran J Kidney Dis,1
CSIR-National Institute of Science Communication and Policy Research (NIScPR),Indian J Biochem Biophys,8
CSIR-National Institute of Science Communication and Policy Research (NIScPR),Indian J Exp Biol,4
CSIRO Publishing,Funct Plant Biol,7
CSIRO Publishing,Reprod Fertil Dev,12
California Digital Library (CDL),Dermatol Online J,1
Cambridge University Press (CUP),Br J Nutr,25
Cambridge University Press (CUP),Bull Entomol Res,5
Cambridge University Press (CUP),CNS Spectr,2
Cambridge University Press (CUP),Can J Neurol Sci,1
Cambridge University Press (CUP),Cardiol Young,3
Cambridge University Press (CUP),Dev Psychopathol,1
Cambridge University Press (CUP),Epidemiol Infect,6
Cambridge University Press (CUP),Infect Control Hosp Epidemiol,2
Cambridge University Press (CUP),J Dairy Res,10
Cambridge University Press (CUP),J Dev Orig Health Dis,1
Cambridge University Press (CUP),J Helminthol,11
Cambridge University Press (CUP),J Laryngol Otol,1
Cambridge University Press (CUP),Parasitology,32
Cambridge University Press (CUP),Proc Nutr Soc,2
Cambridge University Press (CUP),Q Rev Biophys,4
Cambridge University Press (CUP),QRB Discov,1
Cambridge University Press (CUP),Vis Neurosci,1
Cambridge University Press (CUP),Zygote,21
Canadian Science Publishing,Appl Physiol Nutr Metab,4
Canadian Science Publishing,Biochem Cell Biol,33
Canadian Science Publishing,Can J Microbiol,16
Canadian Science Publishing,Can J Physiol Pharmacol,10
Canadian Science Publishing,Genome,15
Cell Physiol Biochem Press GmbH and Co KG,Cell Physiol Biochem,9
Cellule MathDoc/Centre Mersenne,C R Biol,3
Celsius Publishing House,Chirurgia (Bucur),1
Center for Academic Publications Japan,J Nutr Sci Vitaminol (Tokyo),6
Centers for Disease Control MMWR Office,MMWR Morb Mortal Wkly Rep,1
Centers for Disease Control and Prevention (CDC),Emerg Infect Dis,11
Central Research Institute for Epidemiology,Vopr Virusol,7
Central Research Institute for Epidemiology,Zh Mikrobiol Epidemiol Immunobiol,17
"Charles University in Prague, Karolinum Press",Folia Biol (Praha),9
China Anti-cancer Association,Cancer Biol Med,2
China Journal of Chinese Materia Medica,Zhongguo Zhong Yao Za Zhi,13
China Science Publishing & Media Ltd.,Acta Biochim Biophys Sin (Shanghai),40
China Science Publishing & Media Ltd.,Se Pu,7
China Science Publishing & Media Ltd.,Wei Sheng Wu Xue Bao,11
China Science Publishing & Media Ltd.,Yi Chuan,1
China Science Publishing & Media Ltd.,Zhejiang Da Xue Xue Bao Yi Xue Ban,3
Chinese Medical Sciences Journal,Chin Med Sci J,2
Cifra Ltd - Russian Agency for Digital Standardization (RADS),Patol Fiziol Eksp Ter,2
Clinical Laboratory Publications,Clin Lab,7
Clinical and Experimental Rheumatology,Clin Exp Rheumatol,10
Codon Publications,Allergol Immunopathol (Madr),3
Cold Spring Harbor Laboratory,CSH Protoc,5
Cold Spring Harbor Laboratory,Cold Spring Harb Mol Case Stud,1
Cold Spring Harbor Laboratory,Cold Spring Harb Perspect Biol,2
Cold Spring Harbor Laboratory,Cold Spring Harb Protoc,20
Cold Spring Harbor Laboratory,Cold Spring Harb Symp Quant Biol,7
Cold Spring Harbor Laboratory,Genes Dev,263
Cold Spring Harbor Laboratory,Genome Res,78
Cold Spring Harbor Laboratory,Learn Mem,14
Cold Spring Harbor Laboratory,RNA,228
Cold Spring Harbor Laboratory,bioRxiv,56
Cold Spring Harbor Laboratory,medRxiv,4
College of Physicians and Surgeons Pakistan,J Coll Physicians Surg Pak,2
"Computers, Materials and Continua (Tech Science Press)",Congenit Heart Dis,1
"Computers, Materials and Continua (Tech Science Press)",Oncol Res,15
Consilium Medicum,Ter Arkh,6
Croatian Anthropological Society,Coll Antropol,3
Croatian Society for Medical Biochemistry and Laboratory Medicine,Biochem Med (Zagreb),1
CryoLetters Limited Liability Partnership,Cryo Letters,1
De Gruyter,Met Ions Life Sci,4
Decker Medicine,J Otolaryngol,1
Department of Anatomy Keio University School of Medicine,Okajimas Folia Anat Jpn,1
Discovery Medicine,Discov Med,3
DoNotEdit,Arch Razi Inst,1
Dustri-Verlgag Dr. Karl Feistle,Clin Neuropathol,2
Dustri-Verlgag Dr. Karl Feistle,Int J Clin Pharmacol Ther,1
ECO-Vector LLC,Morfologiia,2
EDITORA SCIENTIFIC,Trends Psychiatry Psychother,1
EDP Sciences,J Extra Corpor Technol,1
EDP Sciences,Med Sci (Paris),11
EDP Sciences,Parasite,6
EDP Sciences,Reprod Nutr Dev,1
EDP Sciences,Vet Res,4
EKOlab,Klin Lab Diagn,12
EManuscript Technologies,Pharmacognosy Res,1
"Editorial Committee of Japanese Journal of Infectious Diseases, National Institute of Infectious Dis",Jpn J Infect Dis,2
Editorial Office of Chinese Journal of Applied Physiology,Zhongguo Ying Yong Sheng Li Xue Za Zhi,2
Editorial Office of Chinese Journal of Cancer,Chin J Cancer,2
Edizioni Minerva Medica,Int Angiol,2
Edizioni Minerva Medica,J Cardiovasc Surg (Torino),1
Edizioni Minerva Medica,Minerva Gastroenterol Dietol,1
Edizioni Minerva Medica,Panminerva Med,1
Edizioni Minerva Medica,Q J Nucl Med Mol Imaging,2
Egyptian Association of Immunologists,Egypt J Immunol,4
Egypts Presidential Specialized Council for Education and Scientific Research,J Egypt Soc Parasitol,1
Elsevier,Adv Appl Microbiol,1
Elsevier,Adv Genet,2
Elsevier,Adv Immunol,1
Elsevier,Adv Microb Physiol,2
Elsevier,Adv Protein Chem Struct Biol,6
Elsevier,Adv Virus Res,2
Elsevier,Curr Top Dev Biol,3
Elsevier,Curr Top Membr,1
Elsevier,Enzymes,1
Elsevier,Int Rev Neurobiol,2
Elsevier,Methods Cell Biol,35
Elsevier,Methods Enzymol,201
Elsevier,Prog Mol Biol Transl Sci,6
Elsevier,Vitam Horm,1
Elsevier BV,Acta Biomater,61
Elsevier BV,Acta Histochem,18
Elsevier BV,Acta Pharm Sin B,5
Elsevier BV,Acta Trop,23
Elsevier BV,Adv Biol Regul,2
Elsevier BV,Adv Enzyme Regul,2
Elsevier BV,Adv Med Sci,4
Elsevier BV,Adv Nutr,1
Elsevier BV,Alcohol,1
Elsevier BV,Allergol Int,1
Elsevier BV,Am Heart J,7
Elsevier BV,Am J Cardiol,1
Elsevier BV,Am J Clin Nutr,9
Elsevier BV,Am J Hum Genet,69
Elsevier BV,Am J Infect Control,1
Elsevier BV,Am J Kidney Dis,6
Elsevier BV,Am J Med Sci,4
Elsevier BV,Am J Obstet Gynecol,9
Elsevier BV,Am J Ophthalmol,1
Elsevier BV,Am J Orthod Dentofacial Orthop,1
Elsevier BV,Am J Otolaryngol,1
Elsevier BV,Am J Pathol,139
Elsevier BV,Am J Surg,3
Elsevier BV,Am J Transplant,14
Elsevier BV,Anaerobe,3
Elsevier BV,Anal Biochem,148
Elsevier BV,Anal Chim Acta,51
Elsevier BV,Anim Reprod Sci,5
Elsevier BV,Animal,8
Elsevier BV,Ann Allergy Asthma Immunol,6
Elsevier BV,Ann Anat,2
Elsevier BV,Ann Dermatol Venereol,2
Elsevier BV,Ann Diagn Pathol,2
Elsevier BV,Ann Endocrinol (Paris),2
Elsevier BV,Ann Hepatol,4
Elsevier BV,Ann Oncol,3
Elsevier BV,Ann Pharm Fr,1
Elsevier BV,Ann Thorac Surg,4
Elsevier BV,Ann Vasc Surg,1
Elsevier BV,Antiviral Res,27
Elsevier BV,Appl Radiat Isot,5
Elsevier BV,Aquat Toxicol,41
Elsevier BV,Arab J Chem,1
Elsevier BV,Arab J Gastroenterol,1
Elsevier BV,Arch Biochem Biophys,164
Elsevier BV,Arch Bronconeumol,1
Elsevier BV,Arch Med Res,12
Elsevier BV,Arch Oral Biol,23
Elsevier BV,Arthropod Struct Dev,1
Elsevier BV,Artif Intell Med,1
Elsevier BV,Atherosclerosis,26
Elsevier BV,Autoimmun Rev,2
Elsevier BV,Auton Neurosci,4
Elsevier BV,BBA Clin,1
Elsevier BV,Behav Brain Res,42
Elsevier BV,Best Pract Res Clin Endocrinol Metab,1
Elsevier BV,Biochem Biophys Rep,9
Elsevier BV,Biochem Biophys Res Commun,1053
Elsevier BV,Biochem Eng J,1
Elsevier BV,Biochem Pharmacol,115
Elsevier BV,Biochim Biophys Acta,617
Elsevier BV,Biochim Biophys Acta Bioenerg,57
Elsevier BV,Biochim Biophys Acta Biomembr,33
Elsevier BV,Biochim Biophys Acta Gen Subj,37
Elsevier BV,Biochim Biophys Acta Gene Regul Mech,8
Elsevier BV,Biochim Biophys Acta Mol Basis Dis,31
Elsevier BV,Biochim Biophys Acta Mol Cell Biol Lipids,12
Elsevier BV,Biochim Biophys Acta Mol Cell Res,36
Elsevier BV,Biochim Biophys Acta Proteins Proteom,24
Elsevier BV,Biochim Open,1
Elsevier BV,Biochimie,110
Elsevier BV,Bioelectrochemistry,23
Elsevier BV,Biofilm,1
Elsevier BV,Biol Blood Marrow Transplant,4
Elsevier BV,Biol Psychiatry,26
Elsevier BV,Biologicals,6
Elsevier BV,Biomater Adv,4
Elsevier BV,Biomaterials,125
Elsevier BV,Biomed Environ Sci,4
Elsevier BV,Biomed J,1
Elsevier BV,Biomed Pharmacother,72
Elsevier BV,Biomol Detect Quantif,1
Elsevier BV,Biomol Eng,1
Elsevier BV,Bioorg Chem,40
Elsevier BV,Bioorg Med Chem,126
Elsevier BV,Bioorg Med Chem Lett,117
Elsevier BV,Biophys Chem,62
Elsevier BV,Biophys J,398
Elsevier BV,Bioresour Technol,26
Elsevier BV,Biorheology,1
Elsevier BV,Biosens Bioelectron,65
Elsevier BV,Biosystems,22
Elsevier BV,Biotechnol Adv,2
Elsevier BV,Biotechnol Rep (Amst),1
Elsevier BV,Blood Cells Mol Dis,10
Elsevier BV,Bone,37
Elsevier BV,Br J Anaesth,1
Elsevier BV,Brain Behav Immun,31
Elsevier BV,Brain Dev,4
Elsevier BV,Brain Res,154
Elsevier BV,Brain Res Brain Res Protoc,1
Elsevier BV,Brain Res Bull,35
Elsevier BV,Brain Res Dev Brain Res,10
Elsevier BV,Brain Res Mol Brain Res,31
Elsevier BV,Brain Stimul,1
Elsevier BV,Braz J Infect Dis,2
Elsevier BV,Braz J Otorhinolaryngol,2
Elsevier BV,Breast,1
Elsevier BV,Bull Acad Natl Med,3
Elsevier BV,Burns,4
Elsevier BV,C R Acad Sci III,2
Elsevier BV,Can J Cardiol,3
Elsevier BV,Cancer Cell,60
Elsevier BV,Cancer Detect Prev,2
Elsevier BV,Cancer Epidemiol,1
Elsevier BV,Cancer Genet,3
Elsevier BV,Cancer Genet Cytogenet,6
Elsevier BV,Cancer Lett,114
Elsevier BV,Cancer Treat Res Commun,1
Elsevier BV,Carbohydr Polym,32
Elsevier BV,Carbohydr Res,20
Elsevier BV,Cardiovasc Pathol,3
Elsevier BV,Cardiovasc Revasc Med,1
Elsevier BV,Cell,378
Elsevier BV,Cell Calcium,22
Elsevier BV,Cell Chem Biol,39
Elsevier BV,Cell Host Microbe,30
Elsevier BV,Cell Immunol,36
Elsevier BV,Cell Metab,67
Elsevier BV,Cell Mol Gastroenterol Hepatol,12
Elsevier BV,Cell Rep,372
Elsevier BV,Cell Rep Med,4
Elsevier BV,Cell Rep Methods,5
Elsevier BV,Cell Signal,178
Elsevier BV,Cell Stem Cell,25
Elsevier BV,Cell Stress Chaperones,53
Elsevier BV,Cell Surf,1
Elsevier BV,Cell Syst,15
Elsevier BV,Cells Dev,1
Elsevier BV,Chem Biol,64
Elsevier BV,Chem Biol Interact,61
Elsevier BV,Chem Phys Lipids,10
Elsevier BV,Chemosphere,39
Elsevier BV,Chest,9
Elsevier BV,Chin J Nat Med,1
Elsevier BV,Chin J Traumatol,2
Elsevier BV,Clin Biochem,10
Elsevier BV,"Clin Biomech (Bristol, Avon)",1
Elsevier BV,Clin Breast Cancer,3
Elsevier BV,Clin Chim Acta,26
Elsevier BV,Clin Colorectal Cancer,1
Elsevier BV,Clin Gastroenterol Hepatol,2
Elsevier BV,Clin Genitourin Cancer,1
Elsevier BV,Clin Immunol,36
Elsevier BV,Clin Investig Arterioscler,1
Elsevier BV,Clin Lymphoma Myeloma Leuk,2
Elsevier BV,Clin Mass Spectrom,1
Elsevier BV,Clin Microbiol Infect,12
Elsevier BV,Clin Nutr,5
Elsevier BV,Clin Res Hepatol Gastroenterol,4
Elsevier BV,Clin Ther,1
Elsevier BV,Clinics (Sao Paulo),1
Elsevier BV,Colloids Surf B Biointerfaces,55
Elsevier BV,Comp Biochem Physiol A Mol Integr Physiol,22
Elsevier BV,Comp Biochem Physiol B Biochem Mol Biol,25
