pmid,issn
31981388,1460-9568
28836015,1432-1327
36880401,1755-3245
16245312,0021-9541
30012518,1090-2139
33813791,1365-2443
24699374,0006-3002
21646537,1091-6490
19559712,1089-8638
29036694,1471-9053
11073843,1524-4636
17328911,0022-2836
23141473,1096-7184
36499151,1422-0067
11011805,0094-6176
16636103,1530-6860
32109368,2213-6711
16998842,1040-452X
20493815,1878-1551
17028189,0021-9258
19218246,0021-9258
26172511,1479-828X
36180459,2045-2322
21945318,1873-3468
26019250,1541-6100
24509510,1529-2916
36361582,1422-0067
11809766,0021-9258
27995898,2050-084X
36013387,2075-1729
21916482,1520-4995
30912495,1469-8994
29343452,1879-0003
19633267,1535-9786
32291842,1462-2920
36585612,1528-3658
26660762,1521-0111
17250550,0893-5785
28436458,2045-2322
11298088,0300-0664
35122041,2662-1347
34167949,1538-7445
23415911,1097-4180
25908846,1477-9137
10671482,0021-9258
24285796,1532-298X
27679486,1083-351X
33439673,1939-4586
27254796,1098-2744
17458623,1438-2199
12091387,0021-9258
20419421,1940-6029
15777699,0378-1119
23261767,1090-2430
26134274,1553-7374
31577529,1939-4586
27052179,2211-1247
10681576,0021-9258
17510322,0006-4971
16253244,0014-5793
12767217,0006-2960
18989951,1520-4804
25614622,1083-351X
27323399,1949-2553
26935949,2046-2441
18357784,
20364085,1558-8238
31287215,1615-9861
32046450,1933-7205
29573844,1873-2232
23630284,1091-6490
17438939,0265-2048
34633186,1520-4995
15769468,0022-2836
16540654,0008-5472
25136561,2314-6141
15890964,0022-538X
19319673,1573-7365
21078165,1471-2377
38311632,2045-2322
18703514,0021-9258
15906160,0300-4864
33053339,2211-1247
19905362,1550-2376
36291676,2218-273X
22518003,1533-3450
32023470,2211-1247
18791942,1369-1635
20200066,1532-2548
30337855,1662-5099
24718571,1932-6203
32432306,2042-650X
15878333,0014-4827
11948396,0950-9232
24305113,1472-6882
32840570,1574-6968
32839277,1521-009X
34813726,1097-4172
29802332,2041-4889
21062903,1741-7899
22645361,1091-6490
17761677,0021-9258
31819495,1178-6930
33042276,1838-7640
11319617,0969-7128
11948400,0950-9232
12236590,0300-8177
22520758,1879-1301
29147012,2092-6413
37500658,2041-1723
26537674,1098-5514
26459799,1477-9234
29018234,2041-1723
28722203,1526-968X
26539667,1530-0447
30021519,1471-2229
15014069,0021-9258
35251369,1875-8630
18513786,1095-6859
11269889,0168-8227
25886373,1471-2407
28509351,1097-4547
20164194,1083-351X
22183599,1940-6029
12136086,1362-4962
20175995,1090-2104
35044196,2165-0497
36178624,1940-6029
36764606,1879-0631
26362607,1532-298X
27104928,1476-5403
24358302,1932-6203
16473471,0306-4522
34364871,1083-351X
31332161,2041-4889
28721978,1998-4049
36907295,1879-0003
17420471,0027-8424
11972055,0027-8424
28169365,2045-2322
21482542,1462-0332
38511495,2691-1299
21438014,1098-1136
28389544,1098-5336
12519765,0021-9258
31659275,1476-4679
17401346,1750-2799
17977883,1367-4811
25519910,1083-351X
32555348,2041-1723
18036194,1471-4159
22370484,1551-4005
10983987,1097-2765
36511702,1098-5522
26456830,2211-1247
32876048,2050-084X
33947854,2041-1723
31059775,1095-8657
21965532,1362-4962
15717629,0886-022X
31355046,2095-5138
10869347,0021-9258
23705366,1001-4454
32165640,2041-1723
29206101,2050-084X
35611699,1524-4571
21748493,1559-0291
18687802,1521-009X
19789218,1538-8514
34595921,1520-4995
15857828,0021-9258
19074577,1945-7170
25843012,1752-9867
32416259,1872-7492
15934751,0020-1669
10690902,0021-972X
11771376,0076-6879
19561194,1362-4962
30472221,1879-0720
14725764,0969-2126
29930984,2352-345X
12067345,0950-382X
19857459,1090-2104
10801330,0006-2960
26268246,1557-3265
35430893,2379-5077
22367970,1460-2083
31259644,1464-5203
26050708,1752-0509
30154076,1460-2075
30861161,1097-4644
27597117,2045-2322
36401762,2211-3436
14594951,0021-9258
22454507,1477-9137
28787443,1553-7404
11726183,0003-2697
37816303,1950-6007
17880437,1351-8216
23506433,1538-7836
16412250,1471-2164
18852293,1540-9538
15899837,0008-5472
18185529,1523-1747
27874860,1755-4349
18543295,1096-9861
34717972,1089-8638
32852087,1942-7611
10978519,0006-3002
31506500,2045-2322
21565925,1465-3621
31397327,2053-230X
34978144,1860-7187
10801852,0021-9258
22925049,1365-2958
28188256,1470-8728
35597551,1089-8638
24126135,1095-6867
37398189,2692-8205
27091925,1468-6244
35380267,1617-4623
20184436,1937-335X
12552230,1234-1010
15551290,0361-8609
15541490,0162-0134
15820260,0022-4804
28326942,1744-8069
18425752,0173-0835
18332142,0021-9258
32753382,1091-6490
37498819,1553-7404
32694757,1745-7254
18940664,1074-5521
25833044,1098-5514
37733630,1097-4644
32875432,1573-4978
10707955,0888-8809
12387898,0014-5793
21699901,1089-8638
28075576,1520-5126
16199870,0270-7306
28158543,1367-4811
21518915,1091-6490
23345402,1477-9137
29032149,1879-0038
27992205,1549-9626
29486132,2152-4998
11238921,0270-7306
19546242,1540-8140
17116475,0076-6879
21979920,1549-5477
19836339,1878-4186
27006400,1083-351X
27028410,1478-3231
19012754,1471-4159
29496961,1091-6490
29293507,1932-6203
29622185,1873-7072
38383739,2045-2322
30139944,2045-2322
30508596,1876-4320
17498979,1065-6995
33247117,2055-5008
20142421,1540-8140
36053001,2162-397X
23680150,1878-3686
21549356,1872-6240
10611231,0270-7306
18023287,0006-3002
17711850,0021-9258
18522317,0026-3656
26711011,1097-4164
29721183,1949-2553
32210331,2045-2322
24971490,1520-4995
25579814,1878-4186
22428043,1932-6203
36574906,1872-9096
35731926,1538-7445
26865609,1529-2401
21183954,1460-2075
19661065,1083-351X
18665238,1932-6203
22003006,1098-5336
25318550,2567-689X
28249189,1873-2976
30708836,0191-2917
22328533,1524-4571
26179713,2045-2322
35313064,1878-0261
31142553,1083-351X
20368730,1748-7838
15916859,0306-4522
33396627,1422-0067
20136105,1520-5207
29915101,1524-4539
12069495,0022-4804
22444885,1751-7311
36578083,1479-5876
27983510,1560-7917
10823867,0022-538X
28188622,1096-9861
19711919,1520-4804
36747093,1545-9985
24015989,1364-3703
15026281,0009-8981
23527218,1932-6203
11027571,0006-291X
36991029,2045-2322
12951365,0022-2275
27197168,1538-7445
23135926,1550-7416
15730731,0578-1426
16101683,1398-9219
30874608,1476-5578
29251628,1558-8238
32074129,1932-6203
22632443,1471-180X
17719595,0021-9673
25827711,1720-8386
26321731,1878-6146
23254329,1362-4962
12743292,0022-538X
24753330,1756-2651
37092785,1097-0010
19735086,1531-8257
27180058,1532-8198
24565064,1752-0509
36650585,1756-3305
20421487,1091-6490
15799962,0021-9258
35690242,1879-1220
14636560,0092-8674
10823889,0027-8424
23913924,1549-5477
28579541,1878-7568
33273542,2045-2322
12881511,0888-8809
11294893,1059-1524
35357710,1365-3040
20640425,1432-0991
19505049,0041-3771
32859902,2041-1723
19930574,1472-6750
24512823,1600-0641
17660251,0961-8368
28253967,1557-7988
19862764,1615-9861
26644433,1098-5530
25613008,1872-7492
11086993,0896-6273
11591146,0006-2960
24080911,1530-0307
21090248,0026-8984
16278302,0006-4971
15696364,0022-2844
33682750,1878-7401
36441079,1879-0003
30669350,1420-3049
26902726,1098-5522
16822987,1529-2401
38091051,1863-2661
20455032,1559-0291
26053396,1422-0067
12604780,0027-8424
12686148,0006-3002
25451040,2041-1723
27791004,1091-6490
35066376,1090-2104
12559910,0022-2836
22415365,1460-2075
22970809,1470-8728
18579504,0016-6731
16860774,0003-2697
20175921,1471-2229
25662607,1362-4962
24809668,1553-7404
17592040,1355-8382
24840027,1949-2553
19124604,1098-5522
33557133,1422-0067
34180764,2165-5987
22372469,1520-4995
12676963,0021-9258
17826759,0012-1606
33090888,1557-8852
10892730,0173-0835
25564305,1742-2051
15469019,0132-3423
17805054,1556-1380
34417862,1432-0827
34389721,2041-1723
20360033,1535-9484
22646150,1520-4995
20237154,1939-4586
30467749,1614-7499
20833783,1098-5336
29055193,1873-4235
18845083,1007-8738
19864624,1091-6490
33728688,1097-0177
33576433,1471-9053
12411490,0261-4189
31404087,1932-6203
30929144,2092-9293
37024507,2041-1723
17405914,0077-8923
28889214,1420-908X
36944292,1879-0534
23290554,1879-0445
30120252,2041-1723
16928742,0022-538X
25969538,1083-351X
17645450,0950-382X
11053423,0021-9258
15878980,0006-4971
16344554,1088-9051
21241690,1096-0945
26453836,1873-3468
26599878,1932-6203
27442426,1097-4652
33842002,2090-1224
17289013,0012-1606
31127101,2041-1723
29572253,1468-6244
31476662,1878-5905
19118013,1538-7445
11222320,0006-3495
25559463,1434-4726
26522226,1090-2104
21677170,1529-2401
14607699,1499-3872
20709055,1879-0712
27658966,1362-4962
11724781,0021-9258
25678709,1083-351X
15811859,0021-9258
18582208,1557-8348
37899431,1758-9193
24385582,1091-6490
21531205,1090-2104
18414417,1476-5497
30317561,1097-4652
24312406,1932-6203
21870744,0048-7848
32460231,1568-7856
12006585,0021-9258
31734650,1336-0329
32112837,1879-0003
32332170,1091-6490
12202766,1362-4962
20444623,1879-1123
29634933,1878-1551
35461001,1873-3336
23074189,1362-4962
18223207,1078-0432
22549042,0006-3002
36754446,2051-817X
11809804,0270-7306
32490211,2405-5808
28158805,1460-2431
36329234,1476-5403
25424367,1414-431X
16014488,1466-5026
37062591,1747-0285
19888686,1874-270X
22261723,1535-9484
21449539,1520-4995
30858298,1098-5530
17189197,1097-2765
31943114,1362-4962
16714332,1040-0605
32068236,1573-4935
22178500,1878-1551
38151017,1097-4164
16153422,0039-6060
11243878,0006-291X
12077334,0270-7306
37225922,0948-5023
12591739,0008-5472
17259204,0269-8811
38037222,1470-8744
15334690,1007-9327
31359134,1432-1955
24825097,2191-0286
18571434,1095-8657
25624351,1098-5522
26795477,1557-7988
36716376,1091-6490
23093945,1553-7404
11581287,0021-9525
36453906,2165-0497
33346928,1460-2075
18205876,0007-0963
14500838,1362-4962
25257427,1573-8221
27400087,1944-8252
20068142,1939-327X
34903606,1538-7445
12147351,0006-3002
12682004,1524-4539
16420446,0953-816X
22338074,1522-1555
19575798,1471-2199
19819545,1878-5905
17301036,1079-5006
24019492,1091-6490
16973932,0363-6119
19640831,1744-5485
21970403,1095-8355
21737680,1939-4586
25726846,1582-4934
22776098,1742-4658
18204916,1423-0127
27563852,1097-0290
22793495,1520-5126
15500443,1470-8728
23523930,1638-6183
15152051,1529-2401
25843451,1520-5126
15111441,0006-3495
22903716,1940-6029
28176777,2041-1723
29772559,2768-6698
29078279,1091-6490
11972323,1362-4962
10880347,0264-6021
21981922,1097-4164
16436504,1059-1524
25896322,1476-4687
23286672,1475-2662
26577396,1573-6903
37053306,2691-1299
16736579,0001-6209
16809295,0022-538X
17706244,0022-1759
20038124,1520-510X
14637140,0006-291X
28220754,2050-084X
26856421,2045-2322
26842778,2051-5960
38260533,2692-8205
25925566,1362-4962
24518821,2041-1723
11301479,0952-3499
19098428,1551-4005
22818972,1464-3405
25208568,1939-4586
16987932,1460-2156
27052177,2211-1247
22004747,1542-0086
15522299,0022-2836
15851031,0092-8674
21837636,1096-987X
15727904,1079-9796
21540552,1558-8238
20193754,1089-8646
19820710,1545-9985
23531613,1522-1555
12798625,0264-410X
20727114,1399-0039
32824610,2072-6651
20100315,1741-7007
12135380,0006-2960
24508410,1095-9157
15289581,1362-4962
11489986,0022-1767
23625919,1083-351X
11739776,1059-1524
12617600,0021-8561
15120611,0006-291X
22763338,1937-9145
23967743,1007-3418
24616477,1550-6606
28406475,2041-4889
36155291,1873-7072
28625536,2213-6711
29378961,1091-6490
16083071,1110-0583
22424389,1742-2094
19792035,1089-7682
32544384,1097-4172
19487463,1098-5549
18449907,1097-4652
31898848,1098-1004
17223703,0006-2960
19018107,1399-0047
24032446,1520-4898
15125991,0303-2647
27314644,1095-7103
25945001,2219-2840
12080473,0950-9232
32573322,1551-4005
23094949,1520-6882
23933017,0006-3002
17617028,1434-6621
23639971,1463-9084
17074814,0270-7306
15331623,0741-5400
17371546,1742-464X
21502374,1535-9484
16325003,0361-9230
36346641,1939-327X
26382721,1942-7611
35883213,1939-165X
26204516,1932-6203
23699409,1549-5477
22422840,1362-4962
12356304,0006-2960
21895793,1365-2958
32603587,2161-5063
23761108,2157-6564
15879514,0016-6731
21986938,1476-5594
16168454,0042-6822
33445520,2073-4409
15310758,0021-9258
10951210,0014-2956
19033661,0021-9738
11104838,0022-3956
15518810,0042-6822
25759267,1525-2191
34226692,2055-0278
28542197,1932-6203
35979662,2001-1326
15459906,0006-3592
17432887,0743-7463
19915582,1745-7254
31392992,1362-4962
16953591,0006-2960
22711988,1098-5549
16186500,0027-8424
28988281,1572-9699
12724322,0021-9258
34854277,1592-8721
29069588,2211-1247
32269710,1943-8141
30801173,1520-6882
31473102,1097-4164
11470436,0969-2126
29784875,1083-351X
32128972,1742-4658
37882474,1751-7915
27101375,1932-6203
24021647,1873-3468
34338731,1460-2431
11900485,0014-4827
19016135,0955-3002
22561345,1476-4679
21412273,1750-2799
24307793,2219-2840
23701821,1873-2941
11094077,0270-7306
38147689,1549-9626
24798431,1932-6203
12893314,1567-5394
28356166,1465-542X
29571066,1872-9614
12710931,0014-4886
32705242,1791-3004
23423781,1098-2744
18511070,1089-8638
19929878,1365-313X
28412516,1873-4863
27197222,1549-5469
28583798,1464-3405
33393064,1573-5079
34605433,2059-7983
18215272,1471-2180
26779826,1879-0038
22272439,2522-9028
16024617,0008-5472
37779247,1477-4054
12209081,0091-6749
23962087,1520-4995
30398689,1097-0231
21403396,1558-8238
29307839,2451-9448
35835865,1545-9985
15890843,1095-9203
23084057,1873-4324
17340223,0171-967X
15285646,0020-1669
25795007,2326-6074
34627148,1471-2164
17357109,0014-2980
18065555,0032-0889
31592095,2474-9842
19095021,1873-4995
20603098,0006-3002
24374738,1097-0215
21478269,1557-3125
15937903,1097-0134
22366279,1095-8657
12660326,1046-6673
27903963,1949-2553
24759615,2046-2441
15866692,0041-1345
23687047,1095-9203
18824506,1469-896X
21188516,1573-6903
21627409,1369-1635
26503784,1098-5549
10938272,0021-9258
29229780,1083-351X
25865244,1878-4186
12756324,1355-8382
18052236,0021-8561
30566277,1747-0285
18446769,0951-4198
25536232,1938-5404
16365153,0741-5400
22405003,1878-4186
32450689,1520-5126
36789686,1745-7270
31915248,1083-351X
38296128,1879-0003
24610890,1552-4965
32379884,1540-8140
33719563,1522-1504
17041233,1362-4962
12853481,0261-4189
32636647,1178-6930
18840549,1568-7864
17108104,0008-5472
16805805,0022-3042
15988012,0270-7306
11972039,0027-8424
30902071,1471-2407
30418544,1755-3245
27034416,1528-0020
21526783,1936-086X
26074364,1522-9653
27807228,1098-5514
11137629,0197-0186
28808245,2045-2322
10808272,1343-4934
32862338,1573-6873
26944449,1878-3279
26348848,1932-6203
33933885,1873-4243
35311510,1098-5336
34647005,2590-0064
26952865,1476-5578
37400926,1756-0500
29045937,1421-9778
17512223,1065-6995
32488050,2158-3188
33098724,1365-313X
19220318,1747-0285
11752428,0027-8424
19338281,1554-8937
31473157,1089-8638
38410961,1948-7185
30042493,1476-5403
16368150,0165-2478
12823823,0950-382X
18057048,1460-2431
19805480,1535-4989
29496498,1879-0089
31288636,1757-6334
17314161,0022-538X
28454486,1559-4106
19996758,1536-0210
14645908,0022-1317
21175814,1440-1746
21487097,1532-298X
31978189,1932-6203
11300504,0146-4760
32828830,1873-4863
26982821,2167-9436
34009190,1940-087X
37468639,1476-4687
20179197,1538-7445
29288540,1349-7006
33961858,1879-0631
22722934,1083-351X
12379106,0006-2960
27881304,1097-4172
32673948,1873-7072
15699114,0022-1767
16390460,0950-382X
23308285,1932-6203
16675267,1047-8477
27909227,1522-1601
34453978,1879-2596
34429584,1177-8881
31167788,1083-351X
19763332,1742-2051
11507035,0008-5472
35215950,1999-4915
19585514,1521-4141
18206979,1096-0384
19225890,1573-9686
30696742,2150-7511
20861318,1465-2099
20550931,1097-4172
23911104,1097-4199
29045395,1476-4687
21757758,1083-351X
22431089,1097-4598
28254775,1535-9484
30021001,1932-6203
31092637,1550-6606
20237160,1939-4586
23962429,1090-2104
24362023,1083-351X
12435390,0006-291X
22768092,1932-6203
17146436,0950-9232
22416276,1937-9145
19066630,1932-6203
25691102,1876-2891
38561760,1471-2407
21291856,1096-0309
29122676,1872-7298
35525547,1557-7988
15496426,0964-6906
20624070,1931-8405
25808490,1939-4586
11700348,1350-0872
28067008,1099-1387
26527656,1532-2548
12718891,1097-2765
23856166,0006-3002
17376975,1529-2401
31720731,1432-0428
14657239,1059-1524
35269789,1422-0067
34504068,2041-1723
31723129,2041-1723
27682846,1757-6199
16479541,0014-2980
15231748,1088-9051
23355795,1449-2288
24043688,1476-1645
25645259,1743-422X
21896272,1096-0007
21843490,1542-0086
22554826,1752-8976
31302248,1879-2618
26169722,1520-4995
11729159,0016-6731
14730586,0021-9967
11423182,0304-4017
20350304,1471-2091
33299178,1476-4687
23437272,1932-6203
30661264,1600-0625
20950431,1476-4598
17557508,0391-5387
22474287,1083-351X
18537821,1742-464X
23903681,1414-431X
18282112,1553-7404
26979955,1091-6490
29056747,1748-7838
18083836,1469-9001
11278538,0021-9258
22038977,1097-0177
17660190,1362-4962
23341942,1932-6203
32198183,1083-351X
10749670,0264-6021
11867625,0021-9258
28350964,1543-8392
24014019,1083-351X
33965788,1090-2104
16951922,1360-8185
23954767,1096-0333
24366668,1521-0111
25163544,1471-2164
15252132,0021-9533
35229716,2050-084X
35625621,2218-273X
17483212,0021-9193
23334450,1546-1696
34242650,1879-0003
15631485,0002-7863
17457842,0196-8092
23740225,1463-9084
20697956,1573-4986
33495399,1557-3125
21625704,1477-0539
34716242,1533-3450
27899524,1937-9145
33784430,1521-3773
24587349,1932-6203
26657374,1879-1026
11896693,0893-228X
38148048,1791-7549
24086613,1932-6203
17623065,1471-2148
37154160,2379-3708
25990734,1362-4962
11165486,0925-4773
12702446,1567-1356
31363904,1617-4623
16352611,0021-9258
30963630,1097-4644
24277604,1540-7748
19299730,1550-6606
11822460,0947-6539
22665935,1528-0020
15954156,1615-9853
32154934,1527-3350
18493598,1932-6203
21505245,1744-3091
30281470,1558-2639
24275947,1424-8247
31463900,1940-6029
34893619,2041-1723
35050852,2050-084X
16253346,0165-5728
23106891,2542-5641
33442060,1476-4687
36671272,2079-6382
19388025,1521-3765
14747705,0907-4449
29856891,1365-3040
27405979,1937-9145
19446736,1557-7988
31130956,1664-3224
11278855,0021-9258
18390600,1542-0086
29035272,1478-3975
22194943,1932-6203
34568836,2662-1347
30837669,2045-2322
31131272,2296-2646
23150446,1940-6029
27330050,1552-4531
31112997,1541-6100
23913256,1521-0111
24336150,1546-1726
37449977,1473-5741
28052854,1098-6596
16138186,0021-9738
15596354,1046-5928
22945392,1099-1492
25889872,1618-1328
35776379,1476-3524
29022756,1468-2982
15601591,0999-193X
36911382,1792-1015
28391962,1525-0024
36240973,1916-7075
22242921,1520-4995
18448119,1089-8638
30694432,1573-5079
12663758,0022-538X
33385163,2632-8674
19264986,1095-9203
26022081,1464-3391
26258521,1520-4804
22996816,1521-3773
19352500,1932-6203
24424840,1791-2423
35163536,1422-0067
16481584,0022-0949
12815176,0022-3751
15329733,1476-4687
25652782,1099-0461
37910502,2211-1247
17274959,0006-8993
29645318,1469-896X
24041502,0006-3002
20587504,1362-4962
32999313,2045-2322
12873387,0896-6273
12118379,0950-9232
33483084,1879-1344
12051555,0192-6233
23524258,1090-2104
22432509,1520-5207
17652130,1355-8382
33721250,1474-9092
34867892,1664-302X
16882944,1460-2105
33142454,1525-3171
21925170,1090-2422
18445785,1530-6860
21454661,1083-351X
20573985,1939-4586
11867532,0261-4189
28987282,1873-2747
10913622,0014-5793
36639690,2041-1723
