pmid,journal,doi,issn
17983186,Rev Med Chir Soc Med Nat Iasi,,0048-7848
14509350,Pol J Vet Sci,,1505-1773
10903798,Eur Cytokine Netw,,1148-5493
12411053,Zhonghua Xue Ye Xue Za Zhi,,0253-2727
11381969,Water Sci Technol,,0273-1223
16080537,Anticancer Res,,0250-7005
21575439,Zhonghua Kou Qiang Yi Xue Za Zhi,,1002-0098
32509386,Am J Cancer Res,,2156-6976
17929581,Prikl Biokhim Mikrobiol,,0555-1099
21769075,Minerva Gastroenterol Dietol,,1121-421X
16819308,Mol Cells,,1016-8478
12243090,Vopr Med Khim,,0042-8809
11110698,Blood,,0006-4971
19187601,Chin Med J (Engl),,2542-5641
21265264,Hiroshima J Med Sci,,0018-2052
17674714,Zh Evol Biokhim Fiziol,,0044-4529
21105475,Klin Med (Mosk),,0023-2149
12449801,Prikl Biokhim Mikrobiol,,0555-1099
11085921,Biochem J,,0264-6021
12921344,Jpn J Vet Res,,0047-1917
11986746,Zhonghua Shi Yan He Lin Chuang Bing Du Xue Za Zhi,,1003-9279
10666227,Blood,,0006-4971
12036970,Invest Ophthalmol Vis Sci,,0146-0404
27089683,Sheng Li Ke Xue Jin Zhan,,0559-7765
22679759,Ukr Biokhim Zh (1999),,
10645969,J Neurobiol,,0022-3034
11254751,J Lipid Res,,0022-2275
19031807,Zhonghua Jie He He Hu Xi Za Zhi,,1001-0939
12491604,Rinsho Byori,,0047-1860
21055180,Zhonghua Bing Li Xue Za Zhi,,0529-5807
16403254,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137
22220406,Coll Antropol,,0350-6134
11751459,Cell Growth Differ,,1044-9523
26242038,Zhonghua Nan Ke Xue,,1009-3591
30480413,Tsitol Genet,,0564-3783
29636998,Am J Cancer Res,,2156-6976
20404524,Cell Cycle,,1551-4005
25629266,Folia Biol (Praha),,0015-5500
10969771,Cancer Res,,0008-5472
16545180,Zhonghua Bing Li Xue Za Zhi,,0529-5807
11751455,Cell Growth Differ,,1044-9523
20428793,Int J Mol Med,,1791-244X
15583810,Oncol Rep,,1021-335X
12750284,Cancer Res,,0008-5472
20201365,Voen Med Zh,,0026-9050
19492157,Thromb Haemost,,0340-6245
15951858,Saudi Med J,,0379-5284
18453054,Probl Tuberk Bolezn Legk,,1728-2993
11994503,J Leukoc Biol,,0741-5400
16388744,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
20127032,Oncol Rep,,1791-2431
12082400,J Hum Virol,,1090-9508
10686018,J Med Virol,,0146-6615
11160639,J Pharmacol Exp Ther,,0022-3565
14633680,Cancer Res,,0008-5472
11742571,Acta Pharmacol Sin,,1671-4083
12918255,Fiziol Zh (1994),,2522-9028
26394474,Biofizika,,0006-3029
24459703,Toxicol Lett,,1879-3169
22296396,Asian Pac J Cancer Prev,,2476-762X
15236509,Ann Agric Environ Med,,1232-1966
16447633,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,,1000-503X
10768493,Membr Cell Biol,,1023-6597
14654987,Int J Mol Med,,1107-3756
16859028,Wiad Parazytol,,0043-5163
12589032,Mol Cancer Ther,,1535-7163
16077910,Int J Oncol,,1019-6439
32519665,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
16894896,Sheng Wu Gong Cheng Xue Bao,,1000-3061
11447890,Health Estate,,
17425851,Zhonghua Yi Xue Za Zhi,,0376-2491
10930855,Ann Dermatol Venereol,,0151-9638
25331998,Sheng Li Xue Bao,,0371-0874
18198792,Ideggyogy Sz,,0019-1442
15323363,J Biol Regul Homeost Agents,,0393-974X
11061890,J Urol,,0022-5347
11431439,Invest Ophthalmol Vis Sci,,0146-0404
11527210,Biochem Cell Biol,,0829-8211
20684312,Sheng Wu Gong Cheng Xue Bao,,1000-3061
21651842,Zhonghua Shao Shang Za Zhi,,1009-2587
22071418,Stomatologija,,1822-301X
11888884,Cancer Res,,0008-5472
22238987,Eksp Klin Farmakol,,0869-2092
10842321,J Cell Biochem,,0730-2312
10706597,J Lipid Res,,0022-2275
23113356,Mol Biol (Mosk),,0026-8984
12454415,Biorheology,,0006-355X
12368377,J Nucl Med,,0161-5505
23530434,Vopr Pitan,,0042-8833
26579576,J Physiol Pharmacol,,1899-1505
20302012,Tsitologiia,,0041-3771
21961290,Ross Fiziol Zh Im I M Sechenova,,0869-8139
12014627,Anticancer Res,,0250-7005
19334633,Biofizika,,0006-3029
23189697,Ying Yong Sheng Tai Xue Bao,,1001-9332
15634588,Zhonghua Xue Ye Xue Za Zhi,,0253-2727
31894004,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
10604950,J Pharmacol Exp Ther,,0022-3565
19137742,Genetika,,0016-6758
15928608,Mol Vis,,1090-0535
20942123,Nihon Rinsho,,0047-1852
37020577,Can J Vet Res,,1928-9022
11309342,Clin Cancer Res,,1078-0432
11292255,Cell Mol Biol (Noisy-le-grand),,0145-5680
26118250,Ideggyogy Sz,,0019-1442
16894884,Sheng Wu Gong Cheng Xue Bao,,1000-3061
12872986,Mol Cells,,1016-8478
23229667,G Ital Nefrol,,0393-5590
17523450,Eksp Klin Farmakol,,0869-2092
24864463,Ter Arkh,,0040-3660
11115406,Biochem J,,0264-6021
15695395,Cancer Res,,0008-5472
21186515,Zhonghua Shi Yan He Lin Chuang Bing Du Xue Za Zhi,,1003-9279
30030956,Cell Mol Biol (Noisy-le-grand),,1165-158X
12390791,Di Yi Jun Yi Da Xue Xue Bao,,1000-2588
23477215,Antibiot Khimioter,,0235-2990
15840293,Zhonghua Fu Chan Ke Za Zhi,,0529-567X
11226054,Reproduction,,1470-1626
20109156,In Silico Biol,,1434-3207
12230943,Acta Pharmacol Sin,,1671-4083
18706200,Chin Med J (Engl),,0366-6999
20351933,AMIA Annu Symp Proc,,1942-597X
12019438,Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao (Shanghai),,0582-9879
19351501,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
18825633,Urol J,,1735-546X
21528537,Bing Du Xue Bao,,1000-8721
10706131,Cancer Res,,0008-5472
21548386,Zhonghua Zheng Xing Wai Ke Za Zhi,,1009-4598
16264199,J Invasive Cardiol,,1557-2501
18633470,J Contemp Dent Pract,,1526-3711
17068623,Beijing Da Xue Xue Bao Yi Xue Ban,,1671-167X
10901161,Mol Cells,,1016-8478
15554188,Mol Biol (Mosk),,0026-8984
11747758,Acta Pharmacol Sin,,1671-4083
34155994,Wiad Lek,,0043-5147
15946527,Zhonghua Xue Ye Xue Za Zhi,,0253-2727
14654975,Int J Mol Med,,1107-3756
15010833,Int J Oncol,,1019-6439
20734717,Zh Mikrobiol Epidemiol Immunobiol,,0372-9311
11042808,Genetika,,0016-6758
16255882,Zhonghua Nei Ke Za Zhi,,0578-1426
21633729,Acta Biochim Pol,,1734-154X
21309180,Rev Med Suisse,,1660-9379
25973311,Am J Cancer Res,,2156-6976
11985338,Pol J Pharmacol,,1230-6002
28018136,Yale J Biol Med,,1551-4056
11519427,Lik Sprava,,1019-5297
11001906,Blood,,0006-4971
25674239,Int J Clin Exp Pathol,,1936-2625
38076663,Psychopharmacol Bull,,2472-2448
10769688,Anticancer Res,,0250-7005
11104703,Biochem J,,0264-6021
11521737,Physiol Res,,0862-8408
10997303,Fiziol Zh (1994),,2522-9028
12597026,Indian J Exp Biol,,0019-5189
19663011,Lik Sprava,,1019-5297
11788900,Int J Oncol,,1019-6439
11081227,Ross Fiziol Zh Im I M Sechenova,,0869-8139
15375435,Cryo Letters,,0143-2044
21954610,Genetika,,0016-6758
22667112,Sheng Wu Gong Cheng Xue Bao,,1000-3061
14500385,Cancer Res,,0008-5472
23591335,Beijing Da Xue Xue Bao Yi Xue Ban,,1671-167X
21410066,Hepatogastroenterology,,0172-6390
19806798,J Extra Corpor Technol,,0022-1058
22900342,Indian J Biochem Biophys,,0301-1208
11104681,Biochem J,,0264-6021
22394629,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
31903891,Folia Biol (Praha),,0015-5500
12237483,Clin Hemorheol Microcirc,,1386-0291
11555583,Clin Cancer Res,,1078-0432
11697232,Recept Channels,,1060-6823
15498318,Zhonghua Wai Ke Za Zhi,,0529-5815
18076791,Ai Zheng,,
34248051,Georgian Med News,,1512-0112
35968328,Am J Cancer Res,,2156-6976
17688427,In Silico Biol,,1386-6338
14981905,Anticancer Res,,0250-7005
29631686,Cell Mol Biol (Noisy-le-grand),,1165-158X
12578614,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137
15730617,Zhonghua Yi Xue Za Zhi,,0376-2491
18646518,Wei Sheng Yan Jiu,,1000-8020
11169474,J Comp Neurol,,0021-9967
22712297,Arkh Patol,,0004-1955
11094720,Biofizika,,0006-3029
29643533,Beijing Da Xue Xue Bao Yi Xue Ban,,1671-167X
12930679,Zhonghua Yi Xue Za Zhi,,0376-2491
16715965,Rinsho Ketsueki,,0485-1439
23390375,Cancer Immun,,1424-9634
18019736,Hepatogastroenterology,,0172-6390
15232223,Mol Cells,,1016-8478
10620500,Biochem J,,0264-6021
10713554,Biochemistry (Mosc),,0006-2979
19379552,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137
24584960,Acta Sci Pol Technol Aliment,,1898-9594
23401971,Zh Evol Biokhim Fiziol,,0044-4529
17357522,Lin Chuang Er Bi Yan Hou Ke Za Zhi,,
17131818,Biofizika,,0006-3029
34306343,Am J Transl Res,,1943-8141
10879996,J Investig Allergol Clin Immunol,,1018-9068
11706166,Plant Physiol,,0032-0889
10959197,Rocz Panstw Zakl Hig,,0035-7715
10648026,J Rheumatol,,0315-162X
15107619,Cell Cycle,,1538-4101
16567873,Indian J Med Res,,0971-5916
12384053,J Theor Biol,,0022-5193
15553846,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,,1001-5515
16391844,Oncol Rep,,1021-335X
17691278,Rev Port Cardiol,,0870-2551
17460893,Sheng Wu Gong Cheng Xue Bao,,1000-3061
11563335,Indian J Biochem Biophys,,0301-1208
16077981,Oncol Rep,,1021-335X
30626470,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
10910956,Carcinogenesis,,0143-3334
30541953,J Biosci,,0973-7138
11170207,Proteins,,0887-3585
10691741,Genes Dev,,0890-9369
25296013,Comp Med,,2769-819X
16261208,Zhonghua Shi Yan He Lin Chuang Bing Du Xue Za Zhi,,1003-9279
15373217,Hokkaido Igaku Zasshi,,0367-6102
14615674,Rev Neurol (Paris),,0035-3787
11357949,Ann Neurol,,0364-5134
12497724,Presse Med,,0755-4982
11783089,Zhonghua Zhong Liu Za Zhi,,0253-3766
19548533,Mol Biol (Mosk),,0026-8984
26062415,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
14761602,Zhonghua Bing Li Xue Za Zhi,,0529-5807
15130378,Zhonghua Fu Chan Ke Za Zhi,,0529-567X
11867573,Invest Ophthalmol Vis Sci,,0146-0404
22932426,J Genet,,0973-7731
11792734,J Lipid Res,,0022-2275
30265489,Klin Khir,,0023-2130
19610537,J Ayub Med Coll Abbottabad,,1025-9589
36945688,ArXiv,,2331-8422
12149426,J Leukoc Biol,,0741-5400
21842651,Zhongguo Zhong Yao Za Zhi,,1001-5302
18634161,J Rheumatol,,0315-162X
27228653,Tsitologiia,,0041-3771
11562430,Mol Pharmacol,,0026-895X
24495761,Zhonghua Er Ke Za Zhi,,0578-1310
19942747,Indian J Med Res,,0971-5916
21215094,Zhonghua Bing Li Xue Za Zhi,,0529-5807
20021965,Zhonghua Bing Li Xue Za Zhi,,0529-5807
11220500,J Physiol Pharmacol,,0867-5910
16619495,Anticancer Res,,0250-7005
20819594,Chin Med J (Engl),,2542-5641
25745767,Acta Pol Pharm,,0001-6837
14985456,Mol Cancer Ther,,1535-7163
17380899,Mol Biol (Mosk),,0026-8984
16964378,Int J Oncol,,1019-6439
18075123,Arch Ital Biol,,0003-9829
16596172,Oncol Rep,,1021-335X
26349244,Tsitologiia,,0041-3771
11714063,Mycoses,,0933-7407
25868278,Bing Du Xue Bao,,1000-8721
10772641,Drug Metab Dispos,,0090-9556
26015772,Mol Vis,,1090-0535
22263267,Bing Du Xue Bao,,1000-8721
11642031,Ukr Biokhim Zh (1999),,
12193473,Cell Growth Differ,,1044-9523
14528907,Cell Mol Biol (Noisy-le-grand),,0145-5680
30033401,Pak J Pharm Sci,,1011-601X
11474126,Mol Med,,1076-1551
15107614,Cell Cycle,,1538-4101
12883667,Oncol Rep,,1021-335X
22574505,Acta Pol Pharm,,0001-6837
11302003,Nutr Metab Cardiovasc Dis,,0939-4753
24923038,Rev Prat,,0035-2640
19334593,Mikrobiologiia,,0026-3656
19368127,In Vivo,,0258-851X
16297314,Zhongguo Wei Zhong Bing Ji Jiu Yi Xue,,1003-0603
11956018,Eur Cytokine Netw,,1148-5493
11392115,Fiziol Zh (1994),,2522-9028
10938798,J Exp Bot,,0022-0957
11129648,J Leukoc Biol,,0741-5400
19396030,Med Sci Monit,,1643-3750
12942645,Mol Biol (Mosk),,0026-8984
20672443,J Immunotoxicol,,1547-6901
12194797,Zhonghua Yi Xue Za Zhi,,0376-2491
10815882,Clin Cancer Res,,1078-0432
19035320,Bing Du Xue Bao,,1000-8721
11798599,Zhonghua Nei Ke Za Zhi,,0578-1426
16969516,Oncol Rep,,1021-335X
17022371,Physiol Chem Phys Med NMR,,0748-6642
25031724,Int J Clin Exp Pathol,,1936-2625
16240751,Izv Akad Nauk Ser Biol,,1026-3470
11507066,Cancer Res,,0008-5472
19569502,Biofizika,,0006-3029
15747838,Tsitologiia,,0041-3771
10864802,J Reprod Fertil,,0022-4251
18062879,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
15759507,Biofizika,,0006-3029
16921416,J Burns Wounds,,1554-0766
21103453,Acta Biochim Pol,,1734-154X
26489343,Huan Jing Ke Xue,,0250-3301
27228705,Vopr Pitan,,0042-8833
17484809,Cell Mol Immunol,,1672-7681
11726627,Invest Ophthalmol Vis Sci,,0146-0404
11682463,Cell Growth Differ,,1044-9523
15196336,Zhonghua Jie He He Hu Xi Za Zhi,,1001-0939
17611319,Zhong Nan Da Xue Xue Bao Yi Xue Ban,,1672-7347
15180275,Adv Exp Med Biol,,0065-2598
14532964,Int J Oncol,,1019-6439
24344040,J BUON,,1107-0625
24348211,Yale J Biol Med,,1551-4056
22110187,Anticancer Res,,1791-7530
30207306,J Biosci,,0973-7138
24830199,Zhongguo Ji Sheng Chong Xue Yu Ji Sheng Chong Bing Za Zhi,,1000-7423
19950693,Zhonghua Zhong Liu Za Zhi,,0253-3766
18041224,Vopr Virusol,,0507-4088
15193243,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
22990106,Cancer Genomics Proteomics,,1790-6245
12624624,Thromb Haemost,,0340-6245
28066036,Trans Am Clin Climatol Assoc,,0065-7778
26317183,Acta Chir Orthop Traumatol Cech,,0001-5415
15631156,Polim Med,,0370-0747
12764252,Mol Vis,,1090-0535
10739481,Biochemistry (Mosc),,0006-2979
27335683,Int J Biochem Mol Biol,,2152-4114
20602287,Folia Neuropathol,,1509-572X
15319168,Eur Cytokine Netw,,1148-5493
28230826,Exp Oncol,,2312-8852
16869282,Ross Fiziol Zh Im I M Sechenova,,0869-8139
25720140,Genetika,,0016-6758
17886717,Bing Du Xue Bao,,1000-8721
16477136,Zhi Wu Sheng Li Yu Fen Zi Sheng Wu Xue Xue Bao,,1671-3877
15048159,Cell Mol Biol Lett,,1425-8153
12469227,Int J Mol Med,,1107-3756
11289145,Cancer Res,,0008-5472
18288360,Sheng Li Xue Bao,,0371-0874
15277996,Med Sci Monit,,1234-1010
11160648,J Pharmacol Exp Ther,,0022-3565
25509418,Tsitologiia,,0041-3771
28564534,Clin Transpl,,0890-9016
19849945,Zhongguo Dang Dai Er Ke Za Zhi,,1008-8830
12839924,Cancer Res,,0008-5472
29286505,Probl Radiac Med Radiobiol,,2304-8336
18636154,Int J Oncol,,1019-6439
17440229,J Physiol Pharmacol,,0867-5910
26811933,Clin Exp Rheumatol,,0392-856X
12655352,Cell Mol Biol Lett,,1425-8153
15665285,Cancer Res,,0008-5472
